,email
0,Here is our forecast
1,"Traveling to have a business meeting takes the fun out of the trip.  Especially if you have to prepare a presentation.  I would suggest holding the business plan meetings here then take a trip without any formal business meetings.  I would even try and get some honest opinions on whether a trip is even desired or necessary.As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.  Too often the presenter speaks and the others are quiet just waiting for their turn.   The meetings might be better if held in a round table discussion format.  My suggestion for where to go is Austin.  Play golf and rent a ski boat and jet ski's.  Flying somewhere takes too much time."
2,test successful.  way to go!!!
3, Can you send me a schedule of the salary and level of everyone in the scheduling group.  Plus your thoughts on any changes that need to be made.  
4,Let's shoot for Tuesday at 11:45.  
5,
6,Please cc the following distribution list with updates:Thank you for your help
7,
8,1. login:  pallen pw: ke9davis I don't think these are required by the ISP 
9,"Phillip,> power generation deal for a national accounts customer, I am developing a> proposal to sell power to customer at fixed or collar/floor price. To do> so I need a corresponding term gas price for same. Microturbine is an> onsite generation product developed by Honeywell to generate electricity> on customer site (degen). using natural gas. In doing so,  I need your> annual/seasonal supply to microturbines to generate fixed kWh for> customer. We have the opportunity to sell customer kWh 's using> microturbine or sell them turbines themselves. kWh deal must have limited/> no risk forward gas price to make deal work. Therein comes Sempra energy> We are proposing installing 180 - 240 units across a large number of> Store number varies because of installation hurdles face at small percent.> Gas will likely be consumed from May through September, during peak> Should you have additional questions, give me a call.> Let me assure you, this is real deal!!"
10," For delivered gas behind San Diego, Enron Energy Services is the appropriate number is 713-853-7107.  "
11, Here are the rentrolls: Open them and save in the rentroll folder.  Follow these steps so you don't misplace these files. 3.  Click on the  (C): drive 5.  Click on Save:
